dancing is my life i love flowing and moving my body to the music \ud83d\udc4c\ud83c\udffd lose my mind in the song and block out the world,positive,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
"rt AT_USER if you feel on giving up on smth u love to do, just rmbr yoongi had nothing but his dedication&amp;passion for music br\u2026 ",negative,1.0
rt AT_USER link for live stream btsbbmas \nURL,negative,1.0
rt AT_USER honestly i just wanna get high n listen to music wit u,negative,1.0
rt AT_USER when you are happy you enjoy the music... quote quotestoliveby quoteoftheday quotes quotesforlife music\u2026 ,positive,1.0
"rt AT_USER con todo lo que trasteo con el radio, si fuera m\u00edo estuviera jod\u00edo hace tiempo \ud83d\ude02\ud83d\ude02 URL",negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER you always can trust in ilhoon and btob music. justsaying,negative,1.0
&gt;&gt; wild cherry - play that funky music (white boy) radioatlantisrotterdam rotterdam,positive,1.0
rt AT_USER yikes! but... imwithher URL,negative,1.0
URL,negative,1.0
check out the latest music! \n\nharmix_official music chillout remix mashup edm chillmusic chilloutmusic\n\nURL,positive,1.0
AT_USER \u041c\u043e\u0436\u043d\u043e \u043d\u0435 \u043c\u0443\u0447\u0430\u0442\u044c\u0441\u044f \u0438 \u043f\u043e \u0447\u0435\u043b\u043e\u0432\u0435\u0447\u0435\u0441\u043a\u0438\u0439 \u043a\u0443\u043f\u0438\u0442\u044c \u043f\u043e\u0434\u043f\u0438\u0441\u043a\u0443 \u043d\u0430 apple music \u0437\u0430 1000 \u0442\u0435\u043d\u0433\u0435 \u0432 \u043c\u0435\u0441\u044f\u0446 :),negative,1.0
\u201cmusic is my higher power\u201d\u2015oliver james,negative,1.0
"rt AT_USER chris brown, gucci mane &amp; usher in the same music video \ud83d\udc40\ud83d\udd25 URL",negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
"jazz fan? then don't miss out on this saturday's five points jazz festival. full of music, food, culture, and fun!\u2026 URL",negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER \u3010\u30cb\u30e5\u30fc\u30b9\u66f4\u65b0\u3011 \u3010\u6c7a\u5b9a\uff01\uff01\u3011music on\uff01tv\u306b\u3066\u3001\u307e\u308b\u3054\u306824\u6642\u9593\u4e43\u6728\u574246\u306e\u653e\u9001\u304c\u6c7a\u5b9a\uff01\uff01 URL,negative,1.0
rt AT_USER jhene aiko at the \u20182017 billboard music awards\u2019 and elle present women in music URL,negative,1.0
rt AT_USER henry rollins: this new sgt. pepper stereo mix is so good i almost forgot about trump URL via AT_USER,negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
"rt AT_USER sex will only keep me interested for so long. your conversation, sense of humor, and music taste have to be equally as good",positive,1.0
rt AT_USER link for live stream btsbbmas \nURL,negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
rt AT_USER the music sounds like a new style of seventeen kinda like they matured now from this boy hopelessly in love stage and it's\u2026,positive,1.0
"rt AT_USER music fm\u3068\u304b\u3044\u3046\u306e\u3001\u308f\u304b\u308a\u3084\u3059\u3044\u3050\u3089\u3044\u65e5\u672c\u8a9e\u5909\u3067\u8349\n\u3068\u308a\u3042\u3048\u305a\u306a\u3093\u304b\""\u5f37\u3044\""\u3089\u3057\u3044\u3057\""\u5e78\u305b\u304c\u7c21\u5358\u306a\u306e\u306f\u3053\u3053\u3060\u3088\""\u3063\u3066\u3053\u3068\u3089\u3057\u3044 URL",negative,1.0
music: vector ft. korede bello \u2013\u00a0seaside URL URL,negative,1.0
URL \uc6b0\ub9ac \ub3c5\uc77c\uc5b4\uc5d0\ub294 \uc774\ub7f0 \uc885\ub958\uc758 \ud589\uc704\ub97c URL URL \uc0b0\ub9e4\uc5c5,negative,1.0
rt AT_USER AT_USER AT_USER much respects to beamon i really fw his music an sound really original an creative,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER *exhales* thank you. URL,positive,1.0
roxy music - avalon nu op localfm,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
"the pop girls are releasing such bad music... they're slipping this year, hard URL",negative,1.0
time to drop your music bruh URL,negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
"rt AT_USER can't do it alone, put a friend on my music today \u2728\nURL URL",negative,1.0
rt AT_USER he should be directing music videos URL,negative,1.0
i'm sorry but music is so much more then a beautiful face i wish people could see that... people who have others write their music....,negative,1.0
\ud83d\udd25yesss \ud83d\ude4c\ud83c\udffc who's excited for new music from AT_USER tomorrow?\n\nstripthatdown AT_USER URL,positive,1.0
rt AT_USER [\ud83d\udccc] \u0e2a\u0e15\u0e23\u0e35\u0e21\u0e2a\u0e14 2017bbmas (\u0e08\u0e31\u0e19\u0e17\u0e23\u0e4c\u0e17\u0e35\u0e48 22 \u0e1e.\u0e04. 7:00\u0e19. \u0e44\u0e17\u0e22)\n\nbtsbbmas URL,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
rt AT_USER jacquees is baby makin music don't try me,negative,1.0
"rt AT_USER may has been a great month for music, so far\ud83c\udfb6 URL URL",positive,1.0
or louis listens to music around the house n does like lil shoulder swivels or something and does his own dance routines to songs,negative,1.0
rt AT_USER the internet - palace\/curse\n\nfor some reason curse comes before palace in the music vid but wow can you believe syd\u2026 ,positive,1.0
rt AT_USER remember this? when bangtan singing 2!3! then suddenly the music stop but armys continue to sing it. \ud83d\ude22\ud83d\ude0d\n\nbtsbbmas URL,negative,1.0
URL,negative,1.0
rt AT_USER just sayin that it's okay to like other kinds of music and if you only like hardcore you're probably boring,negative,1.0
"rt AT_USER zpo x AT_USER - \""if they hatin'\"" music video - retweet &amp; spread the word \ud83c\udfc6 540dt\n\nvisuals by AT_USER \n\nh\u2026",positive,1.0
"rt AT_USER stream the first ever spotify music video, badliar by selena gomez here: URL",negative,1.0
"rt AT_USER before, bangtan's only wish is to win 1st place in a music show, but now they're receiving so much recognition all\u2026 ",negative,1.0
rt AT_USER y? URL,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER eeeeep! new ep &amp; a new music vid!! can't wait!!\ud83d\ude03\u2764 URL,positive,1.0
willow smiths music is so slept on foo \ud83d\ude2a she's live fr,negative,1.0
rt AT_USER this simpsons intro is way better with grand theft auto: vice city music \ud83d\udd0a URL,negative,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
"rt AT_USER interested in the best of grime &amp; electronic music, live events &amp; up-and-coming uk talent? this is the place for you...",positive,1.0
AT_USER about to peep your music on soundcloud,negative,1.0
rt AT_USER mor 97.1 cebu presents juxbox music\n\n5am na ako natulog dahil sa pag vote \ud83d\ude02\ud83d\ude02\ud83d\ude0d\nshowtimethursmorefun,negative,1.0
nowplaying serial killer fnf.fm by lana del rey on URL radio. all music is beautiful. keep listening!,positive,1.0
